id	word1	word2	headline
en_2058	-	-	The best VPNs I’ve used are reduced ahead of Black Friday
en_2059	-	-	You should be having more slumber parties with your friends
en_2060	-	-	Korean coast guard arrests helmsman who was on his phone when ferry ran aground
en_2061	-	-	Despite record expansion and growing ambition in the continent, the US is surging ahead again
en_2062	-	-	British singer-songwriter Lily Allen recently dropped her first album in seven years, "West End Girl." She spoke with Anthony Mason about her new music after heartbreak and her healing process
en_2063	-	-	Gambling probes halt lower leagues and suspend hundreds of players, but many say they are scapegoats
en_2064	-	-	7 tips for getting to sleep during cold weather living
en_2065	-	-	Kissing is an ‘evolutionary conundrum.’ Scientists just mapped its unexpected origins
en_2066	-	-	Food writer Anna Ansari's new cookbook "Silk Roads" shares the recipes she has enjoyed on her travels around the world.
en_2067	-	-	In times of sweeping change, clarity matters most.
en_2068	-	-	The World in Pictures Get The AP’s most compelling photographs sent directly to your inbox.
en_2069	-	-	Stocks move lower, erasing morning rally driven by Nvidia earnings
en_2070	-	-	Moment a Gustav Klimt painting sells for record amount
en_2071	-	-	Millennials are set to inherit tons of their parents' stuff — whether they want it or not
en_2072	-	-	As it happened World Cup 2026 playoffs draw: reaction and updates
en_2073	-	-	Inside the courtroom for Australia's biggest trials
en_2074	-	-	US tech group’s quarterly sales outstrip expectations, reassuring investors and boosting shares worldwide
en_2075	-	-	Why Gen Z and millennials are ditching management roles: the rise of 'conscious unbossing'
en_2076	-	-	Abbott strikes $23bn deal for Cologuard cancer test maker Exact Sciences
en_2077	-	-	George W. Bush memorializes his VP Dick Cheney at funeral
en_2078	-	-	Paris court blocks auction of earliest-known calculator
en_2079	-	-	Are you limiting the time you spend online? We’d like to hear from you
en_2080	-	-	The AI Shift: Do we prefer talking to machines rather than each other?
en_2081	-	-	Pit-Smoked and Bourbon-Soaked: how to eat in Kentucky like a pro
en_2082	-	-	Hold an ice cube – and shake like a dog: therapists on 16 simple, surprising ways to beat stress
en_2083	-	-	Thanksgiving travel tips: Best and worst days to fly or drive
en_2084	-	-	‘We could have asked ChatGPT’: students fight back over course taught by AI
en_2085	-	-	From cuisine and culture to history and nature, find the ideal cruise
en_2086	-	-	Frida Kahlo self-portrait poised to shatter auction records
en_2087	-	-	LeBron James plays 23rd NBA season vs. players born after he started
en_2088	-	-	So long, plastic wet wipes - but should we be flushing the new ones?
en_2089	-	-	Ní thuigim: does AI even understand Gaeilge?
en_2090	-	-	Where in the US scientists are concerned sea level rise will flood toxic sites
en_2091	-	-	Why history's 'most controversial' queen was so hated
en_2092	-	-	What you can do in your 30s to stay healthy at 70
en_2093	-	-	Thousands of US hazardous sites are at risk of flooding because of sea level rise, study finds
en_2094	-	-	The Nazis on trial: The enduring lessons of Nuremberg, 80 years on
en_2095	-	-	Is modular construction the answer to the housing crisis
en_2096	-	-	Las Vegas police ask for public's help finding casino armed robbery suspect
en_2097	-	-	A grieving Claire Danes in The Beast in Me – what are they trying to do to us?
en_2098	-	-	Liverpool chairman opens up on contract talks with Salah and Van Dijk
en_2099	-	-	Will mortgage rates drop this December? Here's what lending experts predict
en_2100	-	-	Provinces sign agreement to drop interprovincial trade barriers on goods except food, alcohol
en_2101	-	-	Major League Baseball signs deals with Netflix, ESPN and NBCUniversal
en_2102	-	-	Catstanbul: The city where cats rule the streets
en_2103	-	-	Developers have found a way to bypass Berkeley’s labor standards for housing construction
en_2104	-	-	The mystery of the abandoned Achill Island village of Slievemore
en_2105	-	-	Olympic gold medallist gives 5 key tips for older swimmers returning to the pool
en_2106	-	-	First kiss dates back 21 million years, say scientists
en_2107	-	-	Manchester derby live on Sky in January as fixtures released up to February 2
en_2108	-	-	Interesting Times with Ross Douthat Mapping the new world order through interviews and conversations.
en_2109	-	-	‘A different vibe’: New York welcomes the luxury private cinema experience
en_2110	-	-	Josie ‘knew’ grandson Troy Parrott would score against Hungary
en_2111	-	-	New study finds that fluoride in drinking water may not affect cognitive ability
en_2112	-	-	When racing thoughts are interrupting your sleep, here’s what to do
en_2113	-	-	The Air Quality Index and how to use it, explained
en_2114	-	-	Will life insurance be worth it for seniors in 2026? The right life insurance policy (at the right price) could be valuable for seniors in 2026. Here's why.
en_2115	-	-	How to design an aesthetic home office that boosts productivity
en_2116	-	-	Virginia Tech preaches alignment as James Franklin is introduced as football coach
en_2117	-	-	All four UK govts 'failed to appreciate' scale of pandemic
en_2118	-	-	Bargain hunters drive Walmart sales and outlook higher
en_2119	-	-	How do you judge the world’s best cheese?
en_2120	-	-	Nvidia shares rise after strong results ease 'AI bubble' concerns
en_2121	-	-	Garda among six arrested over missing €100k drug seizure
en_2122	-	-	Why Marseille restaurants are offering gourmet food for €1
en_2123	-	-	One Tech Tip: Do’s and don’ts of using AI to help with schoolwork
en_2124	-	-	George Washington faces Georgetown on 3-game losing streak
en_2125	-	-	The winter's first icy spell and what it means for homeless people
en_2126	-	-	Another Canadian joins Gretzky, Crosby as lone NHL teens with 30 points in first 20 games of a season
en_2127	-	-	Why one California town is moving to ban pickleball
en_2128	-	-	Heimir Hallgrímsson assesses World Cup play-off draw
en_2129	-	-	How generative AI in Arc Raiders started a scrap over the gaming industry’s future
en_2130	-	-	UK investors pull out of London stock market at record pace
en_2131	-	-	Movie Review: Joel Edgerton delivers a profound, understated performance in ‘Train Dreams’
en_2132	-	-	Past vice presidents make rare appearance together at Cheney’s funeral
en_2133	-	-	The one thing that could halve your ultra-processed food consumption in a week
en_2134	-	-	Ex-Labour MP condemns Starmer as he defects to Green Party
en_2135	-	-	Woman starts movement to meet friends without going broke
en_2136	-	-	Huge to-do list': Woman covers her house in rhinestones
en_2137	-	-	#techAsia. AI roils the memory market and Japan’s startups level up
en_2138	-	-	This Nobody’s Child discount code gets you 25% off
en_2139	-	-	Germany masterclass hints at Liverpool revival for £100m Florian Wirtz
en_2140	-	-	Can you guess the distance between Australian cities? It's not as easy as you think
en_2141	-	-	Why Labour MPs won't be comfortable with this approach
en_2142	-	-	How Cold War foes became close colleagues — until toilets got in the way
en_2143	-	-	Rick Steves' Hippie Trail trek changed his life. The travel writer encourages others to go off the beaten path
en_2144	-	-	This is the world’s coolest street. Here’s why
en_2145	-	-	Shocking 3D-printed guns found in NYC
en_2146	-	-	The 6 big thinkers reshaping foreign aid, masculinity, and development
en_2147	-	-	Andy Burnham may be King of the North, but could he rule No 10?
en_2148	-	-	US ‘has Takaichi’s back’ in Japan’s escalating row with China
en_2149	-	-	China’s favourite tipple falls flat on alcohol bans and Gen Z’s changing tastes
en_2150	-	-	Shares in company backed by former Intel chief Pat Gelsinger waver after scaled-back IPO
en_2151	-	-	Australian athletes heading to Tokyo Deaflympics want greater recognition
en_2152	-	-	What does 'agentic' AI mean? Tech's newest buzzword is a mix of marketing fluff and real promise
en_2153	-	-	What does controversial ‘driver-only operation’ mean for UK railways?
en_2154	-	-	One of the world’s most influential philanthropies is changing its name. Here’s why it matters.
en_2155	-	-	I think the language is really cool - London residents attend Irish language workshop
en_2156	-	-	Artificial intelligence sparks debate at COP30 climate talks in Brazil
en_2157	-	-	The magic touch: how healthy are massages actually?
en_2158	-	-	Wicked: For Good predicted to hit new box office record - but the reviews suggest otherwise
en_2159	-	-	In a small Alaska town, Canada-U.S. tensions are upending a longstanding relationship
en_2160	-	-	Sali Hughes on beauty: from nail polish to powder, the best new makeup of 2025
en_2161	-	-	Dirt-powered sensors help farmers optimize their fields
en_2162	-	-	Next year’s UN climate talks set for Turkey after Australia withdraws bid to be the venue
en_2163	-	-	Anticipate September's announcement with Monetary Policy Radar
en_2164	-	-	Food that could be ruining your sleep – and how to fix it
en_2165	-	-	Dancing with the Stars' season 34: See who was eliminated, who's headed to finale
en_2166	-	-	Netherlands takes big step to defuse dispute with China that threatened car production
en_2167	-	-	Call of Duty: Black Ops 7 review – hallucinogenic romp through dystopia is stupidly pleasurable
en_2168	-	-	Mary Robinson says there is an ‘unstoppable momentum’ driving move to renewable energy
en_2169	-	-	US adds 119,000 jobs in September but unemployment hits four-year peak
en_2170	-	-	A Man on the Inside season two review – Ted Danson’s despicably bland show is everything wrong with TV
en_2171	-	-	‘I never looked back’: Why readers chose a life abroad after Brexit
en_2172	-	-	Novels have survived plenty of revolutions before - but could this one be different?
en_2173	-	-	MLB will comply with Senate’s request for gambling investigation documents, commissioner says
en_2174	-	-	Giant, floating pumpkin races draw large crowds to annual event in Oregon
en_2175	-	-	Ken Burns on his American Revolution documentary: ‘We won’t work on a more important film’
en_2176	-	-	Meta's chief AI scientist Yann LeCun to leave Meta and start new AI research company
en_2177	-	-	Diving into Florida’s prehistoric cave of Ice Age secrets
en_2178	-	-	Bok coach Rassie: 'I would be lying if I said we don't want to tick the Ireland box'
en_2179	-	-	Markets soothed by AI chip maker's results but bubble concerns haven't gone away
en_2180	-	-	G20 billionaires could end world poverty in one year's earnings: Oxfam
en_2181	-	-	Risk of blizzards and schools shut during amber weather warning - and 25cm of snow could fall
en_2182	-	-	Why trying too hard may be holding you back at work
en_2183	-	-	Wicked: For Good saved by the magnetic performances of its stars
en_2184	-	-	Witness History The Spanish king reclaims his throne
en_2185	-	-	Chris McCausland’s fascinating documentary challenges even the most ardent AI skeptics
en_2186	-	-	How I nearly became a Chinese intelligence asset by accident
en_2187	-	-	NASA Mars missions stop what they’re doing to capture images of astonishing interstellar comet
en_2188	-	-	Traffic chaos ahead: G20 Summit road closures in Johannesburg
en_2189	-	-	How to turn hazelnuts into a brilliant flour for cakes – recipe
en_2190	-	-	William and Catherine meet Paddington at Royal Variety Performance
en_2191	-	-	Musk predicts AI will lead to work being ‘optional’ and money ‘irrelevant’
en_2192	-	-	What is the mysterious Yantar 'spy ship' - and is it mapping Britain's undersea cables?
en_2193	-	-	Europe’s carmakers risk losing plug-in hybrid war to China on their own turf
en_2194	-	-	Pageant veteran sets sights on Miss Universe crown 2:41
en_2195	-	-	Ed Sheeran has already planned his posthumous album
en_2196	-	-	The Oura ring has been reduced by £100 ahead of Black Friday
en_2197	-	-	England’s World Cup squad: Who’s on the plane and who has work to do?
en_2198	-	-	Nvidia Calmed Fears About A.I. How Long Will That Last?
en_2199	-	-	Wales’ route to World Cup 2026 in full after play-off draw
en_2200	-	-	Parasocial' is the Cambridge dictionary word of the year but what does it mean - and are you in a parasocial relationship?
en_2201	-	-	Titles That Examine the Middle East Win National Book Awards
en_2202	-	-	Dog is rescued from a busy Boston tunnel during rush hour
en_2203	-	-	The receipt myth and why you shouldn't buy a warranty | Money newsletter
en_2204	-	-	Are you stuck in ordinary - but devastating - narcissism? There is a way out
en_2205	-	-	Tell us: what is the one thing that always leaves you feeling calm and positive?
en_2206	-	-	Philippines sentences 'Chinese spy mayor' to life in jail
en_2207	-	-	What does your graduate scheme goody bag say about you?
en_2208	-	-	Why ‘walkaway wives’ are leading the charge in midlife divorce
en_2209	-	-	The Great Read Don’t Tread on Frank: How One Man’s Yard Became a Battlefield A dispute over HOA rules in a D.C. suburb escalated into a hyperlocal version of the nation’s partisan divide.
en_2210	-	-	The Weeknd’s ‘After Hours ‘Til Dawn’ Tour grosses over $1 billion, Live Nation says
en_2211	-	-	Zac Efron shows up for brother's performance during 'DWTS' Prince Night celebration
en_2212	-	-	How 6 organizers are building effective global health solutions from the bottom up
en_2213	-	-	What AI bubble? Nvidia's strong earnings signal there's more room to grow
en_2214	-	-	NASA unveils close-up pictures of the comet popping by from another star
en_2215	-	-	Is it true that … you burn more fat by working out on an empty stomach?
en_2216	-	-	How Troy Parrott broke the internet, in 5 easy memes
en_2217	-	-	With one touch, they vanish. Meet the delicate, icy wonders called frost flowers
en_2218	-	-	Ireland to face Czech Republic with home final possible
en_2219	-	-	Inside the Amazon’s sacred food rituals few outsiders see
en_2220	-	-	The needs of ordinary people must be placed at the centre of the world’s agenda
en_2221	-	-	Hurricane Melissa winds hit record-breaking 252 mph, data confirms
en_2222	-	-	9 one-pot wonders to get you through the cold weather
en_2223	-	-	Washington’s governor declares emergency so Seattle airport will get fuel despite pipeline leak
en_2224	-	-	Black Friday do’s and don’ts: 9 expert-approved tips we swear by
en_2225	-	-	Giants’ Abdul Carter is rushing to get past his public punishment
en_2226	-	-	The Interview Sir Anthony Hopkins: I turn turmoil into energy
en_2227	-	-	‘AI is scary territory’: art teachers – one 64, one 29 – on cuts, creativity and life in a career that’s under threat
en_2228	-	-	Wicked: For Good captures the spirit of the stage musical’s second act — for better and for worse
en_2229	-	-	Europe’s tech sector is evolving fast. Is it fast enough?
en_2230	-	-	Hoekstra accuses Canada of meddling in U.S. politics, says restarting trade talks 'not going to be easy'
en_2231	-	-	Market town with 12,000 residents named Britain's least affordable
en_2232	-	-	TSA proposes charging customers who don't have a Real ID or passport
en_2233	-	-	Nvidia earnings clear lofty hurdle set by analysts amid fears about an AI bubble
en_2234	-	-	Waterfall City Junction breaks ground: setting new standards for urban development
en_2235	-	-	Best laptop Black Friday 2025 deals, picked by a tech expert
en_2236	-	-	The difficult Paul question that Joshua fight will finally answer
en_2237	-	-	Ultra processed foods...a threat to global health?
en_2238	-	-	How to connect with old friends and why it matters
en_2239	-	-	The words you can't say on the internet There's a secret list of words you can't say on social media – at least, that's what everyone seems to think.
en_2240	-	-	Remote telescope farm helps far away stargazers beat light pollution
en_2241	-	-	Investors eye Nvidia's latest earnings: Chipmaker Nvidia is set to release its latest financial results on Wednesday as investors anxiously await.
en_2242	-	-	Working from home in sectional title units: Know the rules to avoid eviction
en_2243	-	-	David and Victoria Beckham in planning row with Cotswolds neighbours
en_2244	-	-	Why are food prices on the rise again?
en_2245	-	-	Inside the secret school keeping an ancient art alive
en_2246	-	-	Stopping small boats with nets ‘risks turning Channel into graveyard’
en_2247	-	-	If you have this password then you should change it immediately
en_2248	-	-	The key players who presided over the government’s ‘chaotic’ Covid response
en_2249	-	-	Will there be enough turkeys for Christmas in Ireland this year?
en_2250	-	-	Petrolette: women in motorcycle culture – in pictures
en_2251	-	-	Cynthia Erivo reacts to protecting Ariana Grande after red carpet ambush
en_2252	-	-	Kia recalling quarter-million cars with fuel tanks that could melt, feds say Kia is recalling roughly a quarter-million K5 sedans with a defect that could lead their fuel tanks to melt, the National Highway Traffic Safety Administration says.
en_2253	-	-	Ambassador offers Japanese PM ‘unshakeable’ support after Beijing imposes economic measures
en_2254	-	-	Tell us: have you ever received a terrible Secret Santa?
en_2255	-	-	Wales, Northern Ireland and the Republic of Ireland find out World Cup play-off opponents
en_2256	-	-	Advocacy groups urge parents to avoid AI toys this holiday season
en_2257	-	-	Wales to host Bosnia in World Cup qualifying play-off semi-final
en_2258	-	-	World Cup play-off draw recap - Ireland to face Czechs
en_2259	-	-	Cooking Recipes, advice and inspiration for everyday cooking, special occasions and more.
en_2260	-	-	Master System at 40: the truth about Sega’s most underrated console
en_2261	-	-	Spanish court orders Meta to pay nearly half a billion euros in damages to media outlets
en_2262	-	-	What the experts want you to know about these key ADHD symptoms
en_2263	-	-	NSW school endures floods, fires and an angry camel to mark 180 years
en_2264	-	-	Meta alerts young Australians to download their data before a social media ban
en_2265	-	-	Jobs report blows past expectations, defying hiring slowdown
en_2266	-	-	All you need to know: Ireland's World Cup play-off draw
en_2267	-	-	How close is too close to a hippo?
en_2268	-	-	Why are my health insurance premiums going up so much?
en_2269	-	-	‘Too little, too late:' Former UK government slammed for its initial COVID-19 response
en_2270	-	-	Coordinated operation across Europe dismantles antiquities smuggling ring
en_2271	-	-	REI’s biggest sale of the year is here — I found 51 great deals worth shopping
en_2272	-	-	Why an AI 'godfather' is quitting Meta after 12 years
en_2273	-	-	Plan to revitalise Rathkeale town centre launched
en_2274	-	-	Erasmus open to Nienaber return for Rugby World Cup
en_2275	-	-	Kids do not want to go to child-free weddings either
en_2276	hammer	flower	-
en_2277	drill	pumpkin	-
en_2278	hammer	laptop	-
en_2279	spray	fridge	-
en_2280	deseed	pepper	-
en_2281	drill	laptop	-
en_2282	spray	banana	-
en_2283	spray	pumpkin	-
en_2284	roll	shirt	-
en_2285	wash	laptop	-
en_2286	roll	banana	-
en_2287	shake	clothe	-
en_2288	measure	hair	-
en_2289	cut	chair	-
en_2290	wash	bicycle	-
en_2291	blend	shoes	-
en_2292	move	towel	-
en_2293	spray	laptop	-
en_2294	drill	book	-
en_2295	spray	keyboard	-
en_2296	measure	fridge	-
en_2297	measure	egg	-
en_2298	shake	chair	-
en_2299	blend	corn	-
en_2300	drill	tomato	-
